symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2010-05-28,89.1900,90.5200,67.9800,79.3100,53.1901,109573600,0.5250
MMM,2010-04-30,83.8700,90.2500,82.6900,88.6700,59.0916,96407000,0.0000
MMM,2010-03-31,80.5700,84.5000,80.3500,83.5700,55.6929,91066100,0.0000
MMM,2010-02-26,80.8400,81.7600,77.2500,80.1500,53.4137,75020400,0.5250
MMM,2010-01-29,83.0900,85.1700,79.1100,80.4900,53.2912,75208100,0.0000
MMM,2009-12-31,77.8500,84.3200,76.0000,82.6700,54.7345,80368700,0.0000
MMM,2009-11-30,73.8600,79.0000,73.3500,77.4400,51.2718,59750400,0.5100
MMM,2009-10-30,73.5600,79.2500,71.6200,73.5700,48.3923,82528000,0.0000
MMM,2009-09-30,71.8100,76.0000,69.8900,73.8000,48.5436,72538600,0.0000
MMM,2009-08-31,71.8000,73.5000,69.2600,72.1000,47.4254,87303100,0.5100
MMM,2009-07-31,60.3100,71.3900,57.8100,70.5200,46.0543,108891900,0.0000
MMM,2009-06-30,57.9000,61.4600,56.6100,60.1000,39.2494,96293200,0.0000
MMM,2009-05-29,57.5600,60.2300,55.2300,57.1000,37.2902,89372800,0.5100
MMM,2009-04-30,48.9500,58.9800,48.7200,57.6000,37.2899,116948000,0.0000
MMM,2009-03-31,44.5500,51.1300,40.8700,49.7200,32.1885,157046900,0.0000
MMM,2009-02-27,52.7900,54.6600,45.1700,45.4600,29.4306,130140500,0.5100
MMM,2009-01-30,57.5500,59.8100,52.3100,53.7900,34.4507,103623600,0.0000
MMM,2008-12-31,64.9500,66.2500,53.5900,57.5400,36.8524,145711300,0.0000
MMM,2008-11-28,63.5600,67.4700,56.2500,66.9300,42.8664,149733100,0.5000
MMM,2008-10-31,67.6700,68.3100,50.0100,64.3000,40.8345,226637300,0.0000
MMM,2008-09-30,72.3800,74.7100,65.5100,68.3100,43.3811,139001400,0.0000
MMM,2008-08-29,70.5300,74.6800,69.3500,71.6000,45.4705,78918100,0.5000
MMM,2008-07-31,68.6600,72.7700,67.2600,70.3900,44.3881,111622500,0.0000
