symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
A,2001-01-31,53.8800,68.0000,47.5600,54.5500,35.5878,56503600,0.0000
A,2000-12-29,52.9400,59.8800,49.8800,54.7500,35.7182,50547300,0.0000
A,2000-11-30,46.0000,54.0000,38.0600,52.1900,34.0481,59800600,0.0000
A,2000-10-31,49.1300,58.6300,39.2500,46.3100,30.2121,67459500,0.0000
A,2000-09-29,60.6900,62.6900,44.3800,48.9400,31.9279,44178100,0.0000
A,2000-08-31,40.6900,64.0000,38.1900,61.0000,39.7957,91389000,0.0000
A,2000-07-31,74.0000,80.9400,39.5000,40.7500,26.5848,115131400,0.0000
A,2000-06-30,74.4400,83.7500,62.0000,73.7500,48.1136,128321200,0.0000
A,2000-05-31,88.6300,104.1000,54.0000,73.6300,48.0353,77277100,0.0000
A,2000-04-28,103.0000,125.0000,73.0600,88.6300,57.8211,32950700,0.0000
A,2000-03-31,104.5000,162.0000,90.0000,104.0000,67.8483,41258700,0.0000
A,2000-02-29,66.2500,115.4000,66.2500,103.9000,67.7831,23560800,0.0000
A,2000-01-31,78.7500,78.9400,58.1300,66.1900,43.1815,32103600,0.0000
A,1999-12-31,42.1900,80.0000,41.0000,77.3100,50.4361,47860100,0.0000
AA,2023-08-30,35.4800,35.6600,27.7600,29.5100,29.5100,116721019,0.1000
AA,2023-07-31,34.5000,37.1700,31.8300,36.1900,36.0841,119825107,0.0000
AA,2023-06-30,32.0000,37.7400,31.5201,33.9300,33.8307,102521931,0.0000
AA,2023-05-31,37.6600,38.2000,31.1400,31.7200,31.6271,83339721,0.1000
AA,2023-04-28,42.5600,42.9500,35.0200,37.1400,36.9314,91788197,0.0000
AA,2023-03-31,51.2900,55.7400,38.5100,42.5600,42.3210,130002646,0.1000
AA,2023-02-28,52.1000,55.4000,45.2700,48.9400,48.5747,90307983,0.0000
AA,2023-01-31,45.7700,57.6090,44.1400,52.2400,51.8501,107250774,0.0000
AA,2022-12-30,50.0400,51.2500,41.8200,45.4700,45.1306,85279789,0.0000
AA,2022-11-30,40.7700,50.7599,36.5119,50.1300,49.7558,127536829,0.0000
AA,2022-10-31,34.3500,43.0800,34.0000,39.0300,38.7387,191304727,0.1000
AA,2022-09-30,47.6950,53.7900,33.5500,33.6600,33.3234,166629068,0.0000
AA,2022-08-31,49.8800,58.2350,47.2000,49.4800,48.9852,113953936,0.1000
AA,2022-07-29,44.8850,51.0150,39.5650,50.8900,50.2777,127034824,0.0000
AA,2022-06-30,61.1350,65.8989,44.2700,45.5800,45.0316,132889418,0.0000
AA,2022-05-31,67.0000,68.1700,53.3400,61.7200,60.9774,156731444,0.1000
AA,2022-04-29,91.6900,93.5800,62.4600,67.8000,66.8733,142115092,0.0000
AA,2022-03-31,77.8900,98.0900,69.9300,90.0300,88.7995,202557200,0.1000
AA,2022-02-28,57.9900,80.5799,56.7300,75.3400,74.2234,156760501,0.0000
AA,2022-01-31,60.2400,64.3700,53.2600,56.7100,55.8695,149124338,0.0000
AA,2021-12-31,47.8900,61.5900,43.2600,59.5800,58.6969,194243527,0.0000
AA,2021-11-30,46.2200,52.8600,45.2100,46.5300,45.8404,164909239,0.0000
AA,2021-10-29,49.4600,57.5700,45.3800,45.9500,45.2690,187972457,0.1000
AA,2021-09-30,43.7100,52.4500,42.4500,48.9400,48.1111,170456725,0.0000
AA,2021-08-31,40.2200,45.7905,36.6085,44.3700,43.6185,152301719,0.0000
AA,2021-07-30,37.4000,40.6600,30.9950,40.1500,39.4699,171600767,0.0000
AA,2021-06-30,40.2000,41.1550,31.9000,36.8400,36.2160,174015841,0.0000
AA,2021-05-28,37.1800,44.4200,34.9400,39.6700,38.9981,140196472,0.0000
AA,2021-04-30,32.2000,38.0700,30.0250,36.6400,36.0194,136855144,0.0000
AA,2021-03-31,25.6700,34.2900,25.4000,32.4900,31.9397,170326991,0.0000
AA,2021-02-26,18.4900,27.8000,17.7800,24.5500,24.1342,122203002,0.0000
AA,2021-01-29,23.6200,26.2000,17.3000,18.0000,17.6951,124151429,0.0000
AA,2020-12-31,20.4800,24.1700,20.4600,23.0500,22.6596,113969003,0.0000
AA,2020-11-30,13.1000,21.1900,12.8600,19.9000,19.5629,110670335,0.0000
AA,2020-10-30,11.6900,14.1400,10.9800,12.9200,12.7012,129374543,0.0000
AA,2020-09-30,14.6400,15.1800,11.3000,11.6300,11.4330,106250952,0.0000
